Wavelength [nm]	Plot1	Wavelength [nm]	Plot2	Wavelength [nm]	Plot3	Wavelength [nm]	Plot4	Wavelength [nm]	Plot5	Wavelength [nm]	Plot6	Wavelength [nm]	Plot7	Wavelength [nm]	Plot8	Wavelength [nm]	Plot9	Wavelength [nm]	Plot10	Wavelength [nm]	Plot11	Wavelength [nm]	Plot12	Wavelength [nm]	Plot13	Wavelength [nm]	Plot14	Wavelength [nm]	Plot15	Wavelength [nm]	Plot16	Wavelength [nm]	Plot17	Wavelength [nm]	Plot18	Wavelength [nm]	Plot19	Wavelength [nm]	Plot20	Wavelength [nm]	Plot21	Wavelength [nm]	Plot22	Wavelength [nm]	Plot23	Wavelength [nm]	Plot24	Wavelength [nm]	Plot25	Wavelength [nm]	Plot26	Wavelength [nm]	Plot27	Wavelength [nm]	Plot28	Wavelength [nm]	Plot29	Wavelength [nm]	Plot30	Wavelength [nm]	Plot31	Wavelength [nm]	Plot32	Wavelength [nm]	Plot33	Wavelength [nm]	Plot34	Wavelength [nm]	Plot35	Wavelength [nm]	Plot36	Wavelength [nm]	Plot37	Wavelength [nm]	Plot38	Wavelength [nm]	Plot39	Wavelength [nm]	Plot40	Wavelength [nm]	Plot41	Wavelength [nm]	Plot42	Wavelength [nm]	Plot43	Wavelength [nm]	Plot44	Wavelength [nm]	Plot45	Wavelength [nm]	Plot46	Wavelength [nm]	Plot47	Wavelength [nm]	Plot48	Wavelength [nm]	Plot49	Wavelength [nm]	Plot50	Wavelength [nm]	Plot51	Wavelength [nm]	Plot52	Wavelength [nm]	Plot53	Wavelength [nm]	Plot54	Wavelength [nm]	Plot55	Wavelength [nm]	Plot56	Wavelength [nm]	Plot57	Wavelength [nm]	Plot58	Wavelength [nm]	Plot59	Wavelength [nm]	Plot60	Wavelength [nm]	Plot61	Wavelength [nm]	Plot62	Wavelength [nm]	Plot63	Wavelength [nm]	Plot64	Wavelength [nm]	Plot65
909,19	830,00000	909,19	833,00000	909,19	832,00000	909,19	834,00000	909,19	834,00000	909,19	834,00000	909,19	830,00000	909,19	836,00000	909,19	833,00000	909,19	834,00000	909,19	830,00000	909,19	836,00000	909,19	832,00000	909,19	836,00000	909,19	837,00000	909,19	833,00000	909,19	837,00000	909,19	839,00000	909,19	834,00000	909,19	835,00000	909,19	838,00000	909,19	835,00000	909,19	836,00000	909,19	841,00000	909,19	835,00000	909,19	836,00000	909,19	835,00000	909,19	834,00000	909,19	837,00000	909,19	831,00000	909,19	834,00000	909,19	835,00000	909,19	838,00000	909,19	836,00000	909,19	831,00000	909,19	833,00000	909,19	839,00000	909,19	835,00000	909,19	834,00000	909,19	832,00000	909,19	832,00000	909,19	833,00000	909,19	835,00000	909,19	832,00000	909,19	835,00000	909,19	836,00000	909,19	832,00000	909,19	836,00000	909,19	834,00000	909,19	836,00000	909,19	833,00000	909,19	832,00000	909,19	836,00000	909,19	833,00000	909,19	839,00000	909,19	836,00000	909,19	835,00000	909,19	835,00000	909,19	837,00000	909,19	830,00000	909,19	834,00000	909,19	837,00000	909,19	834,00000	909,19	834,00000	909,19	835,00000
917,46	849,00000	917,46	851,00000	917,46	851,00000	917,46	852,00000	917,46	852,00000	917,46	854,00000	917,46	852,00000	917,46	846,00000	917,46	846,00000	917,46	848,00000	917,46	849,00000	917,46	849,00000	917,46	850,00000	917,46	852,00000	917,46	853,00000	917,46	850,00000	917,46	849,00000	917,46	854,00000	917,46	849,00000	917,46	851,00000	917,46	852,00000	917,46	851,00000	917,46	853,00000	917,46	849,00000	917,46	851,00000	917,46	852,00000	917,46	848,00000	917,46	852,00000	917,46	851,00000	917,46	846,00000	917,46	854,00000	917,46	847,00000	917,46	853,00000	917,46	847,00000	917,46	844,00000	917,46	851,00000	917,46	847,00000	917,46	848,00000	917,46	849,00000	917,46	846,00000	917,46	850,00000	917,46	850,00000	917,46	847,00000	917,46	844,00000	917,46	846,00000	917,46	848,00000	917,46	848,00000	917,46	852,00000	917,46	850,00000	917,46	843,00000	917,46	851,00000	917,46	848,00000	917,46	848,00000	917,46	847,00000	917,46	852,00000	917,46	847,00000	917,46	844,00000	917,46	847,00000	917,46	846,00000	917,46	847,00000	917,46	849,00000	917,46	849,00000	917,46	848,00000	917,46	853,00000	917,46	845,00000
925,74	850,00000	925,74	856,00000	925,74	853,00000	925,74	851,00000	925,74	855,00000	925,74	851,00000	925,74	854,00000	925,74	852,00000	925,74	858,00000	925,74	855,00000	925,74	847,00000	925,74	851,00000	925,74	852,00000	925,74	854,00000	925,74	852,00000	925,74	858,00000	925,74	851,00000	925,74	851,00000	925,74	851,00000	925,74	852,00000	925,74	853,00000	925,74	850,00000	925,74	846,00000	925,74	850,00000	925,74	855,00000	925,74	851,00000	925,74	855,00000	925,74	849,00000	925,74	851,00000	925,74	854,00000	925,74	851,00000	925,74	850,00000	925,74	853,00000	925,74	850,00000	925,74	851,00000	925,74	852,00000	925,74	851,00000	925,74	849,00000	925,74	850,00000	925,74	851,00000	925,74	849,00000	925,74	852,00000	925,74	848,00000	925,74	851,00000	925,74	852,00000	925,74	850,00000	925,74	852,00000	925,74	854,00000	925,74	852,00000	925,74	850,00000	925,74	847,00000	925,74	849,00000	925,74	848,00000	925,74	848,00000	925,74	848,00000	925,74	849,00000	925,74	852,00000	925,74	851,00000	925,74	846,00000	925,74	851,00000	925,74	850,00000	925,74	850,00000	925,74	846,00000	925,74	847,00000	925,74	848,00000
934,01	855,00000	934,01	857,00000	934,01	850,00000	934,01	857,00000	934,01	849,00000	934,01	849,00000	934,01	854,00000	934,01	853,00000	934,01	851,00000	934,01	851,00000	934,01	851,00000	934,01	855,00000	934,01	850,00000	934,01	852,00000	934,01	859,00000	934,01	854,00000	934,01	857,00000	934,01	855,00000	934,01	853,00000	934,01	848,00000	934,01	852,00000	934,01	856,00000	934,01	852,00000	934,01	849,00000	934,01	857,00000	934,01	854,00000	934,01	852,00000	934,01	850,00000	934,01	855,00000	934,01	853,00000	934,01	847,00000	934,01	849,00000	934,01	851,00000	934,01	851,00000	934,01	853,00000	934,01	855,00000	934,01	852,00000	934,01	853,00000	934,01	855,00000	934,01	850,00000	934,01	851,00000	934,01	848,00000	934,01	849,00000	934,01	851,00000	934,01	855,00000	934,01	855,00000	934,01	852,00000	934,01	851,00000	934,01	854,00000	934,01	855,00000	934,01	849,00000	934,01	853,00000	934,01	851,00000	934,01	851,00000	934,01	849,00000	934,01	850,00000	934,01	854,00000	934,01	849,00000	934,01	847,00000	934,01	852,00000	934,01	854,00000	934,01	851,00000	934,01	849,00000	934,01	848,00000	934,01	851,00000
942,29	848,00000	942,29	848,00000	942,29	853,00000	942,29	848,00000	942,29	857,00000	942,29	852,00000	942,29	854,00000	942,29	853,00000	942,29	851,00000	942,29	849,00000	942,29	849,00000	942,29	853,00000	942,29	848,00000	942,29	856,00000	942,29	850,00000	942,29	847,00000	942,29	853,00000	942,29	855,00000	942,29	851,00000	942,29	851,00000	942,29	855,00000	942,29	847,00000	942,29	856,00000	942,29	853,00000	942,29	850,00000	942,29	849,00000	942,29	848,00000	942,29	851,00000	942,29	848,00000	942,29	847,00000	942,29	852,00000	942,29	853,00000	942,29	857,00000	942,29	853,00000	942,29	853,00000	942,29	848,00000	942,29	853,00000	942,29	846,00000	942,29	852,00000	942,29	850,00000	942,29	848,00000	942,29	851,00000	942,29	847,00000	942,29	850,00000	942,29	847,00000	942,29	851,00000	942,29	850,00000	942,29	851,00000	942,29	850,00000	942,29	846,00000	942,29	850,00000	942,29	852,00000	942,29	852,00000	942,29	844,00000	942,29	852,00000	942,29	851,00000	942,29	856,00000	942,29	851,00000	942,29	848,00000	942,29	853,00000	942,29	845,00000	942,29	845,00000	942,29	847,00000	942,29	848,00000	942,29	849,00000
950,56	862,00000	950,56	860,00000	950,56	861,00000	950,56	865,00000	950,56	860,00000	950,56	866,00000	950,56	862,00000	950,56	864,00000	950,56	867,00000	950,56	866,00000	950,56	857,00000	950,56	860,00000	950,56	864,00000	950,56	864,00000	950,56	866,00000	950,56	865,00000	950,56	869,00000	950,56	862,00000	950,56	865,00000	950,56	862,00000	950,56	864,00000	950,56	864,00000	950,56	864,00000	950,56	865,00000	950,56	865,00000	950,56	864,00000	950,56	862,00000	950,56	860,00000	950,56	860,00000	950,56	864,00000	950,56	863,00000	950,56	864,00000	950,56	867,00000	950,56	865,00000	950,56	864,00000	950,56	863,00000	950,56	861,00000	950,56	866,00000	950,56	864,00000	950,56	862,00000	950,56	862,00000	950,56	862,00000	950,56	863,00000	950,56	861,00000	950,56	859,00000	950,56	863,00000	950,56	864,00000	950,56	864,00000	950,56	866,00000	950,56	858,00000	950,56	862,00000	950,56	861,00000	950,56	859,00000	950,56	862,00000	950,56	865,00000	950,56	862,00000	950,56	865,00000	950,56	859,00000	950,56	861,00000	950,56	859,00000	950,56	862,00000	950,56	861,00000	950,56	859,00000	950,56	859,00000	950,56	860,00000
958,83	843,00000	958,83	849,00000	958,83	847,00000	958,83	846,00000	958,83	845,00000	958,83	850,00000	958,83	845,00000	958,83	845,00000	958,83	843,00000	958,83	848,00000	958,83	846,00000	958,83	846,00000	958,83	848,00000	958,83	848,00000	958,83	848,00000	958,83	850,00000	958,83	848,00000	958,83	842,00000	958,83	845,00000	958,83	847,00000	958,83	847,00000	958,83	845,00000	958,83	848,00000	958,83	843,00000	958,83	841,00000	958,83	846,00000	958,83	845,00000	958,83	842,00000	958,83	844,00000	958,83	845,00000	958,83	844,00000	958,83	843,00000	958,83	849,00000	958,83	842,00000	958,83	846,00000	958,83	841,00000	958,83	842,00000	958,83	847,00000	958,83	843,00000	958,83	842,00000	958,83	848,00000	958,83	845,00000	958,83	846,00000	958,83	843,00000	958,83	843,00000	958,83	839,00000	958,83	842,00000	958,83	845,00000	958,83	842,00000	958,83	840,00000	958,83	843,00000	958,83	843,00000	958,83	844,00000	958,83	842,00000	958,83	842,00000	958,83	843,00000	958,83	840,00000	958,83	842,00000	958,83	841,00000	958,83	841,00000	958,83	842,00000	958,83	842,00000	958,83	845,00000	958,83	842,00000	958,83	840,00000
967,10	857,00000	967,10	863,00000	967,10	858,00000	967,10	861,00000	967,10	862,00000	967,10	854,00000	967,10	858,00000	967,10	856,00000	967,10	859,00000	967,10	858,00000	967,10	856,00000	967,10	858,00000	967,10	857,00000	967,10	857,00000	967,10	855,00000	967,10	855,00000	967,10	854,00000	967,10	856,00000	967,10	856,00000	967,10	860,00000	967,10	857,00000	967,10	859,00000	967,10	854,00000	967,10	854,00000	967,10	859,00000	967,10	856,00000	967,10	856,00000	967,10	854,00000	967,10	857,00000	967,10	857,00000	967,10	854,00000	967,10	855,00000	967,10	855,00000	967,10	850,00000	967,10	852,00000	967,10	856,00000	967,10	855,00000	967,10	853,00000	967,10	857,00000	967,10	851,00000	967,10	851,00000	967,10	855,00000	967,10	850,00000	967,10	855,00000	967,10	855,00000	967,10	852,00000	967,10	855,00000	967,10	857,00000	967,10	857,00000	967,10	853,00000	967,10	857,00000	967,10	850,00000	967,10	856,00000	967,10	850,00000	967,10	852,00000	967,10	851,00000	967,10	856,00000	967,10	851,00000	967,10	857,00000	967,10	858,00000	967,10	852,00000	967,10	854,00000	967,10	852,00000	967,10	854,00000	967,10	853,00000
975,37	860,00000	975,37	862,00000	975,37	861,00000	975,37	862,00000	975,37	860,00000	975,37	859,00000	975,37	858,00000	975,37	857,00000	975,37	864,00000	975,37	863,00000	975,37	860,00000	975,37	859,00000	975,37	860,00000	975,37	859,00000	975,37	865,00000	975,37	859,00000	975,37	859,00000	975,37	858,00000	975,37	859,00000	975,37	857,00000	975,37	859,00000	975,37	856,00000	975,37	856,00000	975,37	859,00000	975,37	859,00000	975,37	861,00000	975,37	859,00000	975,37	858,00000	975,37	860,00000	975,37	855,00000	975,37	858,00000	975,37	856,00000	975,37	859,00000	975,37	858,00000	975,37	863,00000	975,37	859,00000	975,37	859,00000	975,37	857,00000	975,37	861,00000	975,37	858,00000	975,37	854,00000	975,37	859,00000	975,37	856,00000	975,37	853,00000	975,37	856,00000	975,37	859,00000	975,37	854,00000	975,37	856,00000	975,37	861,00000	975,37	855,00000	975,37	857,00000	975,37	862,00000	975,37	857,00000	975,37	856,00000	975,37	858,00000	975,37	858,00000	975,37	859,00000	975,37	855,00000	975,37	854,00000	975,37	855,00000	975,37	856,00000	975,37	852,00000	975,37	854,00000	975,37	851,00000	975,37	858,00000
983,64	870,00000	983,64	871,00000	983,64	867,00000	983,64	872,00000	983,64	867,00000	983,64	870,00000	983,64	871,00000	983,64	871,00000	983,64	868,00000	983,64	868,00000	983,64	866,00000	983,64	870,00000	983,64	868,00000	983,64	873,00000	983,64	871,00000	983,64	874,00000	983,64	875,00000	983,64	868,00000	983,64	873,00000	983,64	870,00000	983,64	873,00000	983,64	872,00000	983,64	869,00000	983,64	870,00000	983,64	870,00000	983,64	870,00000	983,64	870,00000	983,64	867,00000	983,64	870,00000	983,64	869,00000	983,64	870,00000	983,64	864,00000	983,64	873,00000	983,64	870,00000	983,64	867,00000	983,64	868,00000	983,64	868,00000	983,64	869,00000	983,64	872,00000	983,64	864,00000	983,64	870,00000	983,64	868,00000	983,64	868,00000	983,64	866,00000	983,64	867,00000	983,64	865,00000	983,64	870,00000	983,64	868,00000	983,64	866,00000	983,64	865,00000	983,64	861,00000	983,64	865,00000	983,64	866,00000	983,64	868,00000	983,64	869,00000	983,64	868,00000	983,64	866,00000	983,64	865,00000	983,64	865,00000	983,64	866,00000	983,64	864,00000	983,64	865,00000	983,64	865,00000	983,64	868,00000	983,64	864,00000
