Wavelength [nm]	Plot1	Wavelength [nm]	Plot2	Wavelength [nm]	Plot3	Wavelength [nm]	Plot4	Wavelength [nm]	Plot5	Wavelength [nm]	Plot6	Wavelength [nm]	Plot7	Wavelength [nm]	Plot8	Wavelength [nm]	Plot9	Wavelength [nm]	Plot10
909,19	811,00000	909,19	809,00000	909,19	805,00000	909,19	811,00000	909,19	813,00000	909,19	808,00000	909,19	813,00000	909,19	811,00000	909,19	809,00000	909,19	810,00000
917,46	820,00000	917,46	821,00000	917,46	818,00000	917,46	821,00000	917,46	816,00000	917,46	819,00000	917,46	819,00000	917,46	821,00000	917,46	822,00000	917,46	823,00000
925,74	821,00000	925,74	821,00000	925,74	823,00000	925,74	817,00000	925,74	822,00000	925,74	821,00000	925,74	821,00000	925,74	824,00000	925,74	819,00000	925,74	821,00000
934,01	822,00000	934,01	821,00000	934,01	823,00000	934,01	824,00000	934,01	826,00000	934,01	822,00000	934,01	822,00000	934,01	819,00000	934,01	819,00000	934,01	826,00000
942,29	816,00000	942,29	821,00000	942,29	817,00000	942,29	819,00000	942,29	817,00000	942,29	819,00000	942,29	818,00000	942,29	816,00000	942,29	815,00000	942,29	820,00000
950,56	829,00000	950,56	825,00000	950,56	828,00000	950,56	828,00000	950,56	825,00000	950,56	828,00000	950,56	831,00000	950,56	829,00000	950,56	829,00000	950,56	826,00000
958,83	807,00000	958,83	809,00000	958,83	808,00000	958,83	808,00000	958,83	811,00000	958,83	803,00000	958,83	808,00000	958,83	807,00000	958,83	805,00000	958,83	806,00000
967,10	815,00000	967,10	817,00000	967,10	816,00000	967,10	811,00000	967,10	821,00000	967,10	820,00000	967,10	813,00000	967,10	813,00000	967,10	815,00000	967,10	816,00000
975,37	815,00000	975,37	815,00000	975,37	811,00000	975,37	814,00000	975,37	818,00000	975,37	823,00000	975,37	818,00000	975,37	818,00000	975,37	817,00000	975,37	821,00000
983,64	823,00000	983,64	825,00000	983,64	828,00000	983,64	826,00000	983,64	823,00000	983,64	822,00000	983,64	826,00000	983,64	823,00000	983,64	823,00000	983,64	825,00000
991,91	813,00000	991,91	814,00000	991,91	815,00000	991,91	816,00000	991,91	812,00000	991,91	815,00000	991,91	811,00000	991,91	818,00000	991,91	813,00000	991,91	809,00000
